d1;d2;d3;d4;n
0.0554845;0.0487509;0.0488183;0.049559;14851
0.055507;0.048787;0.048787;0.0495262;14881
0.0554624;0.048823;0.048756;0.0496278;14911
0.0555518;0.0488588;0.0488588;0.0495951;14941
0.0554405;0.0489613;0.0488945;0.0496293;14971
0.0555963;0.0489301;0.0488634;0.04953;15001
0.0556184;0.0488989;0.0487659;0.0494977;15031
0.0556404;0.0490007;0.0489343;0.0493991;15061
0.0555298;0.0489696;0.0489033;0.0493672;15091
0.0554857;0.0489386;0.0489386;0.0492692;15121
0.0556399;0.0489737;0.0488417;0.0493037;15151
0.0557276;0.0488769;0.048811;0.0492721;15181
0.0556834;0.048912;0.0488462;0.0492407;15211
0.0558362;0.0488813;0.0488157;0.049275;15241
0.055792;0.0489162;0.0488508;0.0492437;15271
0.0558133;0.0490818;0.048755;0.0493432;15301
0.0557694;0.0491162;0.04879;0.0493119;15331
0.0557906;0.0490853;0.0486947;0.0492806;15361
0.0556819;0.0492496;0.0486648;0.0492496;15391
0.0556384;0.0492186;0.0486998;0.0492186;15421
0.0555304;0.0491878;0.04867;0.0493819;15451
0.055552;0.0492216;0.0485757;0.0493508;15481
0.0555735;0.0491264;0.0484817;0.0494488;15511
0.0555949;0.0490959;0.0485168;0.049482;15541
0.055552;0.0492582;0.0484876;0.0493867;15571
0.0555734;0.0492276;0.0485225;0.049484;15601
0.0555307;0.0491971;0.0484934;0.049517;15631
0.055552;0.0491667;0.0485282;0.0495498;15661
0.0554458;0.0490727;0.0485629;0.0495188;15691
0.0555944;0.0490427;0.0487246;0.0494879;15721
0.0554885;0.0490128;0.0486318;0.0495842;15751
0.0554464;0.048983;0.0485394;0.0498067;15781
0.0554677;0.0489533;0.0484473;0.0497755;15811
